Anime,Recommendation,Agree Votes
10131,15526,0
10131,14771,0
10131,3409,0
10131,12267,0
10131,4280,0
10132,622,0
10132,513,0
10132,7701,0
10132,11596,0
10132,7248,0
10132,4707,0
10132,3999,0
10132,3281,0
10132,13666,0
10132,8340,0
10133,4658,0
10133,9562,0
10133,8494,0
10133,1847,0
10133,9561,0
10133,9058,0
10133,11417,0
10133,16421,0
10133,6704,0
10133,7538,0
10134,10526,0
10134,7772,0
10134,15633,0
10134,15252,0
10134,2839,0
10134,13747,0
10134,4584,0
10134,15572,0
10134,15971,0
10134,8582,0
10135,10526,0
10135,7772,0
10135,15633,0
10135,15252,0
10135,2839,0
10135,13747,0
10135,4584,0
10135,15572,0
10135,15971,0
10135,8582,0
10136,1157,1
10136,10924,0
10136,11575,0
10136,10043,0
10136,8405,0
10136,9555,0
10136,10568,0
10136,11966,0
10136,15274,0
10136,2986,0
10137,8329,1
10137,4336,1
10137,5401,0
10137,3210,0
10137,871,0
10137,7620,0
10137,7345,0
10137,1247,0
10137,892,0
10137,63,0
10138,10563,0
10138,9728,0
10138,16202,0
10138,16014,0
10138,16012,0
10138,16616,0
10138,10296,0
10138,15749,0
10138,9283,0
10138,14878,0
1014,1286,5
1014,1534,3
1014,2679,3
1014,170,2
1014,1121,2
1014,1015,2
1014,13573,2
1014,1563,1
1014,1420,1
1014,66,1
1014,942,1
1014,258,1
1014,4007,1
1014,641,1
1014,1286,5
1014,1534,3
1014,2679,3
1014,170,2
1014,1121,2
1014,1015,2
1014,13573,2
1014,1563,1
1014,1420,1
1014,66,1
10140,16667,0
10140,12234,0
10140,13553,0
10140,16064,0
10140,16067,0
10140,16063,0
10140,11491,0
10140,11516,0
10140,3836,0
10140,13314,0
10141,8151,0
10141,16336,0
10141,11375,0
10141,15504,0
10141,3253,0
10141,2731,0
10141,8150,0
10141,15005,0
10141,11311,0
10141,11410,0
10142,6795,0
10142,4983,0
10142,8812,0
10142,14469,0
10142,10974,0
10142,10825,0
10142,10996,0
10142,13692,0
10142,3793,0
10142,5312,0
10143,1587,0
10143,15609,0
10143,1934,0
10143,16150,0
10143,2343,0
10143,15995,0
10143,10707,0
10143,5696,0
10143,11026,0
10143,12522,0
10146,9902,0
10146,13434,0
10146,13037,0
10146,12415,0
10146,10823,0
10146,13548,0
10146,985,0
10146,12171,0
10146,13413,0
10146,7032,0
10147,14713,0
10147,14063,0
10147,15930,0
10147,15970,0
10147,12755,0
10147,10795,0
10147,14301,0
10147,12756,0
10148,16578,0
10148,16577,0
10148,15486,0
10148,16848,0
10148,17149,0
10148,17147,0
10148,17171,0
